screen,component,purpose,data_source,category,geography,audience,duplicate_elsewhere
RootTabView,FloatingTabBar,Primary navigation,AppTabView.swift,Navigation,Global,All,"Yes: AppTab/TabItem/side menu"
HomeView,Home dashboard,Next actions and discovery,HomeView.swift + Home*Components,Getting started,Selected city,All,"Yes: Guide/More/Places"
PlacesDiscoveryView,Places segments,Guide/map/search aggregation,PlacesDiscoveryView.swift,Explore,Country/City/Place,All,"Yes: Map/Guide/Search"
SearchView,Search results,Global retrieval,AppSearchEngine + KnowledgeIndex,Global,All,All,"Entry duplicated in Places/AI"
NetherlandsMapHubView,Province map,Geographic discovery,NetherlandsData + map models,Explore,Country/Province/City,All,"Yes: Places/City directory"
NearbyMapView,Map points,Nearby services,Map point data,Official services,Place,All,"Yes: Places/service cards"
FavoritesView,Saved list,User library,SavedItemsStore,Saved,All,All,No
AIAssistantView,Conversation,Explain and navigate,AIService + KnowledgeIndex,Assistant,Contextual,All,"Yes: tab/floating/contextual launcher"
MoreHubView,Category rows,Full content directory,CanonicalContentCategory + local rows,Navigation,Global,All,"Yes: side menu/Home"
RightSideMenuOverlay,Menu sections,Global quick navigation,AppTabView.menuSections,Navigation,Global,All,"Yes: MoreHub"
GuideContentView,Article sections,Long-form knowledge,GuideContent static data,Multiple,Country,All,"Yes: practical guides/help/home"
CategoriesHubView,Category cards,Browse topics,Local category definitions,Multiple,Country,All,"Yes: More/Guide"
InformationHubView,Hub,Daily-life entry,Local models,Getting started,Country,All,"Yes: Guide/More"
FirstStepsView,Task cards,Newcomer onboarding,PracticalGuide data,Getting started,Country,Newcomer,"Yes: checklist/home/survival"
ChecklistView,Checklist rows,Track tasks,Checklist data,Getting started,Country,Newcomer,"Yes: FirstSteps/Documents"
DocumentOrganizerView,Document tool,Track documents,Local document store,Official services,Country,All,"Yes: Guide documents"
OfficialSourceDirectoryView,Source directory,Trusted outbound links,Official source data,Official services,Country,All,"Yes: Government/Resources"
InstitutionsView,Institution list,Government directory,MockInstitutionsData,Official services,Country/City,All,"Yes: Official sources/Government"
EmergencyHubView,Emergency actions,Urgent help,Emergency data,Health and safety,Country/Place,All,"Yes: Home/Guide/Help"
HelpHubView,Problem categories,Support routing,Local cards,Multiple,Country,All,"Yes: More/Survival"
SurvivalNavigatorView,Persona journey,Guided help,AppStateViewModel routes,Getting started,Country,Newcomer,"Yes: FirstSteps/Help"
SurvivalGuideView,Guide cards,Legacy survival content,Local definitions,Getting started,Country,Newcomer,"Yes: SurvivalNavigator; orphan risk"
TransportGuideView,Guide and routes,Transport knowledge,TransportGuideData,Transport,Country/City,All,"Yes: GuideContent/Map"
FinesInfoView,Rules and fines,Legal reference,Rule/Fine data,Official services,Country,Resident,"Yes: Legal/Letters"
LegalInfoView,Legal topics,Legal reference,MockLegalInfoData,Official services,Country,All,"Yes: Official sources; orphan risk"
LettersView,Letter examples,Document reference,Letters data,Official services,Country,All,"Yes: Documents/Fines"
ResourcesView,Resource links,External directory,MockResourcesData,Multiple,Country,All,"Yes: Official sources/Help"
CitiesDirectoryView,City list,Geographic browse,NetherlandsData,Explore,City,All,"Yes: Map/Places"
ProvinceDirectoryView,Province list,Geographic browse,NetherlandsData,Explore,Province,All,"Yes: Map/Places"
NetherlandsOverviewView,Country overview,Orientation,Netherlands data,Explore,Country,All,"Yes: Home/Guide"
PlaceDetailView,Place detail,Local venue/service info,Place models,Explore,Place,All,No
CultureAttractionsView,Culture cards,Culture and tourism,Mock content,Explore,Country/City,Visitor,"Yes: Places/City/Home"
DutchHolidaysView,Holiday list,Calendar reference,Holiday data,Explore,Country,All,"Yes: Calendar/Home"
HistoryKNMHubView,History hub,Education gateway,KNM data,Study,Country,Student,"Yes: history/culture"
NetherlandsHistoryView,Timeline,Canonical history,History data,Study,Country,All,"Yes: KNM/Home"
KNMGuideView,Course modules,Civic education,KNMGuideData,Study,Country,Student,No
LanguageHubView,Language hub,Learning entry,Language data,Study,Country,All,"Yes: Dutch A1/A2/terms"
DutchA1A2View,Course,Language learning,DutchA1A2CourseData,Study,Country,Student,No
DutchTermsView,Dictionary,Term lookup,Terms data,Study,Country,All,"Yes: Search/Language"
TranslatorView,Translator,Language utility,Local/AI service,Study,Global,All,"Yes: AI; orphan risk"
SettingsView,Settings lists,Preferences and legal,AppStorage/settings,Settings,Global,All,"Mixed with More"
PrivacyDataControlView,Privacy controls,Data management,Local settings,Settings,Global,All,No
OnboardingQuestionnaireView,Questionnaire,Set persona/status,UserProfile,Getting started,Global,All,"Persona reused as access filter"
LocalPartnersView,Partner cards,Commercial/local discovery,LocalPartner data,Explore,City,All,"Yes: Places/Home"
CalendarView,Event list,Events and dates,Calendar data,Explore,Country/City,All,"Yes: Home/More"

